,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23
204,,449.6,506.4,524.2,550.6,572.8,599.4,627.0,656.8,677.2,702.6,720.2,755.0,122.96000000000001,115.63,117.19,121.82,111.5006,116.48,111.9327,131.12,1735.38,137.0,137.0,112.156
205,,,,,,,,,,,,,,,,,,111.4907,,111.9328,131.11,,,,
206,,,,,,,,,,,,,,121.67,115.29,117.02,121.31,111.4894,116.36,111.9321,131.23,1742.42,143.0,143.0,
207,,440.2,505.8,524.0,550.4,572.6,599.4,627.4,658.0,680.4,706.8,728.2,771.8,,,,,111.474,,111.9316,131.3,,,,
208,,,,,,,,,,,,,,119.02,115.18,116.71,120.89,111.4852,,111.9316,131.3,,130.0,130.0,
209,,,,,,,,,,,,,,,,,,111.474,,111.9316,131.29,,,,
210,,,,,,,,,,,,,,,,,,111.4841,,111.9323,131.19,,,,
211,,447.0,501.4,519.4,546.6,569.2,596.2,624.4,655.2,674.8,700.4,718.2,755.6,120.3,115.17,116.67,120.84,111.481,116.44,111.9324,131.18,1838.05,127.0,127.0,111.99458
212,,,,,,,,,,,,,,,,,,111.4773,,111.9327,131.13,,,,
213,,,,,,,,,,,,,,124.74,115.47,116.91,121.38,111.5086,117.1,111.9347,130.8,1859.99,144.0,144.0,
214,,431.6,491.2,509.6,540.2,567.0,595.0,626.4,659.8,679.8,706.6,727.0,771.4,,,,,111.5067,,111.9328,131.11,,,,
215,,,,,,,,,,,,,,122.53,115.11,116.51,120.62,111.5041,,111.9324,131.17000000000002,,125.0,125.0,
216,,,,,,,,,,,,,,,,,,111.4333,,111.9285,131.8,,,,
217,,,,,,,,,,,,,,,,,,111.4446,,111.9294,131.66,,,,
218,,443.6,494.4,512.4,541.0,565.0,591.8,620.2,650.8,671.0,696.6,714.6,753.8,121.78999999999999,114.72,115.82,119.53999999999999,111.459,116.22,111.9306,131.47,1747.71,162.0,162.0,111.89359
219,,,,,,,,,,,,,,,,,,111.4715,,111.9314,131.32999999999998,,,,
220,,,,,,,,,,,,,,123.62,115.64,116.41,121.05,111.4731,116.45,111.9313,131.36,1836.02,123.0,123.0,
221,,434.8,494.6,512.8,541.2,566.4,594.0,623.8,655.8,677.0,703.6,724.0,768.0,,,,,111.4757,,111.9314,131.34,,,,
222,,,,,,,,,,,,,,123.24,114.88,116.58,120.46000000000001,111.4695,,111.9314,131.34,,127.0,127.0,
223,,,,,,,,,,,,,,,,,,111.4664,,111.9313,131.36,,,,
224,,,,,,,,,,,,,,,,,,111.4721,,111.9314,131.34,,,,
225,,442.2,495.4,513.4,541.6,566.6,594.4,624.2,656.0,674.6,700.2,717.4,754.2,120.53,115.9,116.46,121.36,111.4747,116.52,111.9315,131.32,1851.43,134.0,134.0,112.0275
226,,,,,,,,,,,,,,,,,,111.4802,,111.9318,131.27,,,,
227,,,,,,,,,,,,,,121.74,114.96,116.31,120.27,111.4713,116.06,111.9306,131.47,1803.43,128.0,128.0,
228,,432.0,492.6,510.8,540.4,566.2,594.4,625.2,658.4,678.8,705.6,725.8,770.4,,,,,111.4852,,111.9314,131.34,,,,
