,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23,RDS2.24,RDS2.25,RDS2.26,RDS2.27
101,,,,,,,,,,,,,,115.7,127.36,155.8,172.16,34275.0,,,111.962,111.96261,126.5,1847.5,145.69,,120.51359,,
102,,,,,,,,,,,,,,,,,,34106.0,,,,,,,,,,,
103,,,,,,,,,,,,,,118.22,127.84,156.43,173.26999999999998,34017.0,,,111.9624,111.96299,126.44,,150.5,,,,
104,,,,,,,,,,,,,,,,,,34016.0,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,34495.0,,,,,,,,,,,
106,,380.0,451.8,485.2,,560.8,,625.4,,696.2,,764.4,822.2,115.63,127.38,156.4,172.78,34243.0,,114.4988,111.9629,111.96347,126.37,1766.03,147.11,114.0,120.25197,,
107,,,,,,,,,,,,,,,,,,34143.0,,,,,,,,,,,
108,,,,,,,,,,,,,,117.22,127.67,155.11,171.78,34101.0,,,111.9624,111.96294,126.45,1816.26,147.75,,120.30384,,
109,,,,,,,,,,,,,,,,,,33563.0,,,,,,,,,,,
110,,,,,,,,,,,,,,115.19,127.17,155.07,171.24,33812.0,,,111.9623,111.96284,126.46000000000001,,147.64,,,,
111,,,,,,,,,,,,,,,,,,33813.0,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,33710.0,,,,,,,,,,,
113,,377.8,449.8,483.0,,558.8,,623.4,,693.8,,762.4,824.6,117.14,127.11,155.17000000000002,171.28,34016.0,,113.6715,111.9619,111.96248,126.52,1859.95,146.86,128.0,120.4176,,
114,,,,,,,,,,,,,,,,,,33637.0,,,,,,,,,,,
115,,,,,,,,,,,,,,116.67,126.57,153.64,169.21,33051.0,,,111.9619,111.96247,126.52,1789.91,146.24,,120.32812,,
116,,,,,,,,,,,,,,,,,,33950.0,,,,,,,,,,,
117,,,,,,,,,,,,,,116.54,127.71000000000001,155.59,172.3,33783.0,,,111.9624,111.96298,126.44,,147.67000000000002,,,,
118,,,,,,,,,,,,,,,,,,33582.0,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,33656.0,,,,,,,,,,,
120,,388.0,448.4,481.2,,557.0,,621.4,,691.4,,759.6,823.6,117.3,127.86,156.73,173.59,33689.0,,114.8826,111.9623,111.96284,126.46000000000001,1885.18,147.98,119.0,120.4504,,
121,,,,,,,,,,,,,,,,,,34361.0,,,,,,,,,,,
122,,,,,,,,,,,,,,117.9,127.98,156.78,173.76,34144.0,,,111.9625,111.96306,126.43,1768.86,147.74,,120.40947,,
123,,,,,,,,,,,,,,,,,,33613.0,,,,,,,,,,,
124,,,,,,,,,,,,,,115.65,127.76,155.86,172.62,35781.0,,,111.9622,111.96275,126.47,,146.39,,,,
125,,,,,,,,,,,,,,,,,,35278.0,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,34342.0,,,,,,,,,,,
127,,384.6,445.8,478.6,,555.8,,622.0,,693.0,,761.2,825.4,115.97,126.69,156.57,172.26,33822.0,,114.7582,111.96340000000001,111.964,126.28,1740.34,147.34,124.0,120.44777,,
128,,,,,,,,,,,,,,,,,,33685.0,,,,,,,,,,,
129,,,,,,,,,,,,,,116.28,127.23,155.82,172.05,35180.0,,,111.9632,111.96378,126.32,1744.85,147.31,,120.34101,,
130,,,,,,,,,,,,,,,,,,34677.0,,,,,,,,,,,
131,,,,,,,,,,,,,,119.93,127.17,154.51,170.68,34699.0,,,111.9626,111.96321,126.41,,147.47,,,,
132,,,,,,,,,,,,,,,,,,34720.0,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,34456.0,,,,,,,,,,,
134,,386.4,447.0,479.8,,556.0,,621.2,,692.2,,761.0,824.6,125.74,127.97,155.57,172.54,34385.0,,113.7279,111.9618,111.96232,126.53999999999999,1876.89,146.67000000000002,128.0,119.93427,,
135,,,,,,,,,,,,,,,,,,33741.0,,,,,,,,,,,
136,,,,,,,,,,,,,,126.91,127.51,154.12,170.63,33067.0,,,111.9608,111.96133,126.69,1735.09,145.24,,120.09722,,
137,,,,,,,,,,,,,,,,,,33332.0,,,,,,,,,,,
138,,,,,,,,,,,,,,119.89,127.44,153.96,170.4,32879.0,,,111.9613,111.96187,126.61,,146.42000000000002,,,,
139,,,,,,,,,,,,,,,,,,33700.0,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,34380.0,,,,,,,,,,,
141,,380.6,441.4,475.0,,554.8,,620.4,,691.4,,760.6,825.8,114.71,127.61,154.6,171.21,34025.0,,114.2668,111.9606,111.96121,126.71000000000001,1817.69,144.94,125.0,120.33512,,
142,,,,,,,,,,,,,,,,,,34291.0,,,,,,,,,,,
143,,,,,,,,,,,,,,115.43,127.65,154.97,171.62,34364.0,,,111.9608,111.96136,126.69,1846.68,144.82,,120.25197,,
144,,,,,,,,,,,,,,,,,,5015.0,,,,,,,,,,,
145,,,,,,,,,,,,,,116.91,127.71000000000001,154.16,170.87,34129.0,,,111.9626,111.96313,126.42,,146.56,,,,
146,,,,,,,,,,,,,,,,,,33375.0,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,34457.0,,,,,,,,,,,
148,,386.0,450.8,483.4,,559.0,,624.0,,694.6,,762.6,822.2,118.6,127.68,154.45,171.13,34307.0,,113.9929,111.9628,111.96334,126.38,1849.18,147.36,120.0,120.55924,,
149,,,,,,,,,,,,,,,,,,35105.0,,,,,,,,,,,
150,,,,,,,,,,,,,,124.85,128.45,155.88,173.32999999999998,34797.0,,,111.9625,111.9631,126.42,1717.47,147.97,,120.38086,,
151,,,,,,,,,,,,,,,,,,34685.0,,,,,,,,,,,
152,,,,,,,,,,,,,,123.17,128.35,156.39,173.74,34652.0,,,111.9627,111.96328,126.39,,148.07,,,,
153,,,,,,,,,,,,,,,,,,34461.0,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,33852.0,,,,,,,,,,,
155,,,,,,,,,,,,,,115.98,128.37,157.28,174.65,34322.0,,114.2985,111.9618,111.96236999999999,126.53,2029.31,149.82,123.0,120.89144,,
156,,,,,,,,,,,,,,,,,,33846.0,,,,,,,,,,,
157,,,,,,,,,,,,,,119.96000000000001,127.37,153.92000000000002,170.29000000000002,33854.0,,,111.9635,111.96405,126.28,1807.68,148.81,,120.80975,,
158,,,,,,,,,,,,,,,,,,33964.0,,,,,,,,,,,
159,,,,,,,,,,,,,,124.56,127.49,154.8,171.29,34275.0,,,111.9629,111.96351,126.36,,147.69,,,,
160,,,,,,,,,,,,,,,,,,34123.0,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,33930.0,,,,,,,,,,,
162,,379.4,451.6,485.2,,561.0,,624.4,,693.6,,762.0,825.8,123.67,127.77,155.1,171.87,34160.0,,113.6597,111.9632,111.96373,126.33,1697.41,152.09,147.0,120.52681,,
163,,,,,,,,,,,,,,,,,,34143.0,,,,,,,,,,,
164,,,,,,,,,,,,,,123.13,128.07999999999998,154.68,171.76,34077.0,,,111.9631,111.96368,126.33,1665.28,150.24,,120.48999,,
165,,,,,,,,,,,,,,,,,,33460.0,,,,,,,,,,,
166,,,,,,,,,,,,,,141.12,128.68,154.15,171.82999999999998,35546.0,,,111.9623,111.96287,126.46000000000001,,148.68,,,,
167,,,,,,,,,,,,,,,,,,33753.0,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,34421.0,,,,,,,,,,,
169,,404.8,459.2,492.4,,565.6,,630.4,,698.0,,764.2,817.4,141.98,128.69,156.3,173.99,34314.0,,114.3176,111.96340000000001,111.96401,126.28,1912.71,149.8,281.0,120.63782,,
170,,,,,,,,,,,,,,,,,,34281.0,,,,,,,,,,,
171,,,,,,,,,,,,,,137.55,128.09,154.62,171.70999999999998,33717.0,,,111.964,111.9646,126.19,2085.81,150.57,,120.71963,,
172,,,,,,,,,,,,,,,,,,34256.0,,,,,,,,,,,
173,,,,,,,,,,,,,,135.75,128.57999999999998,156.48,174.06,35664.0,,,111.964,111.96456,126.2,,150.23,,,,
174,,,,,,,,,,,,,,,,,,35420.0,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,35692.0,,,,,,,,,,,
176,,379.0,453.0,487.0,,563.0,,627.4,,697.2,,766.0,827.2,131.72,128.51,156.02,173.53,35646.0,,113.5194,111.9638,111.96441,126.22,1875.77,152.68,199.0,120.61171,,
177,,,,,,,,,,,,,,,,,,34855.0,,,,,,,,,,,
178,,,,,,,,,,,,,,128.05,127.9,154.54,171.44,35377.0,,,111.9629,111.96343,126.37,1810.44,148.21,,120.52963,,
179,,,,,,,,,,,,,,,,,,35816.0,,,,,,,,,,,
180,,,,,,,,,,,,,,125.34,126.85,155.23,171.07999999999998,35574.0,,,111.9633,111.9639,126.3,,149.01,,,,
181,,,,,,,,,,,,,,,,,,35873.0,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,35333.0,,,,,,,,,,,
183,,405.0,458.2,492.0,,565.4,,630.0,,697.6,,764.2,819.0,131.04,127.71000000000001,156.15,172.86,35556.0,,114.1356,111.9641,111.96463,126.19,1936.66,150.23,169.0,120.74155,,
184,,,,,,,,,,,,,,,,,,34584.0,,,,,,,,,,,
185,,,,,,,,,,,,,,128.93,127.55,155.49,172.04000000000002,34298.0,,,111.9622,111.9628,126.47,1856.05,148.03,,120.30969,,
186,,,,,,,,,,,,,,,,,,34037.0,,,,,,,,,,,
187,,,,,,,,,,,,,,125.51,127.24,153.2,169.44,33643.0,,,111.961,111.96156,126.66,,146.9,,,,
188,,,,,,,,,,,,,,,,,,32256.0,,,,,,,,,,,
